run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,9.003716,39,227268,136838,80357,80358,227268,0.2006,0,0,80358
2,true,10.671609,45,972722,581904,344231,344232,972722,0.9854,0,0,344232
3,true,8.806421,31,219391,128665,77653,77654,219391,0.1661,0,0,77654
4,true,5.240945,26,245,162,85,86,245,0.0001,0,0,86
5,true,7.542569,35,29246,18175,10265,10266,29246,0.0182,0,0,10266
6,true,8.9057,37,417038,241255,147827,147828,417038,0.3144,0,0,147828
7,true,9.189358,40,645948,383900,229664,229665,645948,0.5123,0,0,229665
8,true,11.049278,39,948906,559615,336415,336416,948906,0.8112,0,0,336416
9,true,8.937843,38,181065,109926,63399,63400,181065,0.1296,0,0,63400
10,true,9.129509,38,76274,46688,27154,27155,76274,0.0489,0,0,27155
11,true,6.812013,30,4770,2982,1682,1683,4770,0.0029,0,0,1683
12,true,10.103716,37,25610,15955,9224,9225,25610,0.0164,0,0,9225
13,true,8.145238,32,69971,42222,24634,24635,69971,0.0457,0,0,24635
14,true,12.384307,48,2815235,1672440,1013027,1013028,2815235,2.8321,0,0,1013028
15,true,9.465584,36,108206,66213,38684,38685,108206,0.0781,0,0,38685
16,true,7.158766,26,24334,14773,8640,8641,24334,0.0153,0,0,8641
17,true,8.704473,37,636839,376667,225327,225328,636839,0.4891,0,0,225328
18,true,8.247006,36,134064,80330,47449,47450,134064,0.0861,0,0,47450
19,true,10.418831,45,7501716,4162169,2629727,2629728,7501716,8.5678,0,0,2629728
20,true,10.333478,39,999212,589628,356260,356261,999212,0.8037,0,0,356261
21,true,7.117569,36,229677,136409,79919,79920,229677,0.1594,0,0,79920
22,true,8.230664,29,267170,157669,94908,94909,267170,0.1898,0,0,94909
23,true,10.064971,46,957381,565626,339408,339409,957381,0.8263,0,0,339409
24,true,7.608766,26,717,468,247,248,717,0.0004,0,0,248
25,true,9.38943,40,160485,97574,57085,57086,160485,0.1109,0,0,57086
26,true,8.774784,37,68544,41971,24299,24300,68544,0.0462,0,0,24300
27,true,8.008478,38,293770,171604,103795,103796,293770,0.2177,0,0,103796
28,true,10.096934,39,82493,50493,29892,29893,82493,0.0569,0,0,29893
29,true,9.466775,40,104240,63681,37207,37208,104240,0.073,0,0,37208
30,true,9.857937,32,1204779,698763,427420,427421,1204779,0.9845,0,0,427421
31,true,7.280339,36,50625,31222,17800,17801,50625,0.0424,0,0,17801
32,true,10.479076,39,894097,528978,319561,319562,894097,0.8406,0,0,319562
33,true,5.740584,25,11146,6860,3918,3919,11146,0.0069,0,0,3919
34,true,9.656854,38,683139,406670,241079,241080,683139,0.5216,0,0,241080
35,true,11.021537,43,2231874,1308761,791548,791549,2231874,1.9703,0,0,791549
36,true,7.519913,30,8643,5451,3024,3025,8643,0.0052,0,0,3025
37,true,9.38676,41,159439,95963,56569,56570,159439,0.1115,0,0,56570
38,true,4.564827,22,948,614,319,320,948,0.0005,0,0,320
39,true,9.017136,35,266166,157305,94239,94240,266166,0.1917,0,0,94240
40,true,6.774387,33,44011,26825,15407,15408,44011,0.0281,0,0,15408
41,true,7.613672,36,60594,37133,20992,20993,60594,0.0381,0,0,20993
42,true,10.347872,46,199857,122291,71288,71289,199857,0.1425,0,0,71289
43,true,10.45956,34,56674,34859,20375,20376,56674,0.0385,0,0,20376
44,true,8.099387,39,242687,143477,85330,85331,242687,0.168,0,0,85331
45,true,8.76443,34,75768,46236,26689,26690,75768,0.0523,0,0,26690
46,true,10.049351,39,1017481,597318,362785,362786,1017481,0.8262,0,0,362786
47,true,6.760786,28,63271,36973,22295,22296,63271,0.0396,0,0,22296
48,true,7.275469,31,38496,23256,13689,13690,38496,0.0241,0,0,13690
49,true,10.127922,44,1265160,745913,448162,448163,1265160,1.0193,0,0,448163
50,true,10.335498,50,929964,550327,330500,330501,929964,0.7419,0,0,330501
51,true,9.290224,40,129824,78965,46061,46062,129824,0.0903,0,0,46062
52,true,8.612085,32,58329,35695,20747,20748,58329,0.0403,0,0,20748
53,true,9.877165,36,40769,25408,14255,14256,40769,0.0271,0,0,14256
54,true,7.134307,33,65136,39584,22993,22994,65136,0.0434,0,0,22994
55,true,8.252128,31,53561,32827,18879,18880,53561,0.0358,0,0,18880
56,true,7.055231,25,1693,1058,602,603,1693,0.001,0,0,603
57,true,8.639863,40,428344,254105,149256,149257,428344,0.3214,0,0,149257
58,true,9.53658,45,773519,455639,272932,272933,773519,0.602,0,0,272933
59,true,7.855267,32,60132,36716,21132,21133,60132,0.041,0,0,21133
60,true,9.022367,37,63305,38458,22550,22551,63305,0.0426,0,0,22551
61,true,8.308117,38,282893,166587,99946,99947,282893,0.2004,0,0,99947
62,true,9.722799,48,167329,100691,59975,59976,167329,0.1182,0,0,59976
63,true,7.813276,31,102640,61371,36278,36279,102640,0.0696,0,0,36279
64,true,10.559632,45,880185,524791,312541,312542,880185,0.6976,0,0,312542
65,true,5.796176,29,887,572,308,309,887,0.0005,0,0,309
66,true,8.251299,36,232650,139267,82266,82267,232650,0.1698,0,0,82267
67,true,7.039033,29,5221,3244,1857,1858,5221,0.0032,0,0,1858
68,true,9.150613,40,281332,168650,99594,99595,281332,0.2071,0,0,99595
69,true,8.136328,42,169119,102481,59845,59846,169119,0.1181,0,0,59846
70,true,8.924315,39,40930,25032,14679,14680,40930,0.0269,0,0,14680
71,true,8.693074,44,420857,253354,149319,149320,420857,0.3103,0,0,149320
72,true,10.028571,31,278837,165842,99300,99301,278837,0.2084,0,0,99301
73,true,9.541847,39,122206,73296,43748,43749,122206,0.0862,0,0,43749
74,true,9.23943,38,163816,98419,58175,58176,163816,0.117,0,0,58176
75,true,8.86728,37,72319,43999,25518,25519,72319,0.0492,0,0,25519
76,true,9.164358,36,332407,199389,117525,117526,332407,0.2471,0,0,117526
77,true,7.629654,40,89311,53677,30978,30979,89311,0.0593,0,0,30979
78,true,6.921501,28,8305,5130,2948,2949,8305,0.005,0,0,2949
79,true,9.161652,42,576232,336272,201140,201141,576232,0.4244,0,0,201141
80,true,7.8421,30,31733,19793,10960,10961,31733,0.0207,0,0,10961
81,true,6.896934,27,2410,1533,830,831,2410,0.0013,0,0,831
82,true,9.20653,42,219995,132519,78082,78083,219995,0.1534,0,0,78083
83,true,9.765188,35,2144,1344,781,782,2144,0.0013,0,0,782
84,true,7.628247,34,126092,76318,44076,44077,126092,0.0869,0,0,44077
85,true,8.836977,33,267666,157420,94385,94386,267666,0.1976,0,0,94386
86,true,8.023449,30,8963,5594,3139,3140,8963,0.0057,0,0,3140
87,true,10.048593,37,133604,81535,46864,46865,133604,0.0946,0,0,46865
88,true,8.962843,38,35920,22301,12664,12665,35920,0.0232,0,0,12665
89,true,7.873954,36,33162,20177,11745,11746,33162,0.0203,0,0,11746
90,true,11.654942,43,1022311,609606,365597,365598,1022311,0.843,0,0,365598
91,true,10.991883,46,1599137,937988,571875,571876,1599137,1.3375,0,0,571876
92,true,10.417244,40,176608,107748,63234,63235,176608,0.1288,0,0,63235
93,true,8.404004,29,2531,1592,885,886,2531,0.0016,0,0,886
94,true,9.403319,38,443147,258728,156660,156661,443147,0.3298,0,0,156661
95,true,7.071501,30,24233,14846,8516,8517,24233,0.015,0,0,8517
96,true,8.348954,38,44894,27642,15873,15874,44894,0.029,0,0,15874
97,true,6.855267,34,29982,18569,10557,10558,29982,0.0184,0,0,10558
