run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,222342,133788,78510,78511,222342,0.3708,0,0,78511
2,true,41.0,41,515620,310538,183096,183097,515620,1.1606,0,0,183097
3,true,31.0,31,2350,1492,834,835,2350,0.0028,0,0,835
4,true,26.0,26,368,243,126,127,368,0.0005,0,0,127
5,true,31.0,31,17848,11140,6242,6243,17848,0.0362,0,0,6243
6,true,37.0,37,72734,44643,25765,25766,72734,0.1163,0,0,25766
7,true,38.0,38,176393,106269,62868,62869,176393,0.3481,0,0,62869
8,true,37.0,37,134900,82515,47486,47487,134900,0.2547,0,0,47487
9,true,36.0,36,220033,132583,77287,77288,220033,0.3718,0,0,77288
10,true,38.0,38,34409,21280,12209,12210,34409,0.0434,0,0,12210
11,true,28.0,28,2165,1367,756,757,2165,0.0019,0,0,757
12,true,37.0,37,36187,22648,12781,12782,36187,0.0542,0,0,12782
13,true,32.0,32,32352,19959,11334,11335,32352,0.033,0,0,11335
14,true,48.0,48,2650903,1575478,953904,953905,2650903,5.9176,0,0,953905
15,true,36.0,36,76970,47158,27321,27322,76970,0.0593,0,0,27322
16,true,26.0,26,4410,2776,1534,1535,4410,0.0027,0,0,1535
17,true,37.0,37,110409,67233,39197,39198,110409,0.0829,0,0,39198
18,true,34.0,34,15897,9958,5616,5617,15897,0.0105,0,0,5617
19,true,39.0,39,299507,181632,105567,105568,299507,0.2369,0,0,105568
20,true,39.0,39,108740,66418,38995,38996,108740,0.08,0,0,38996
21,true,32.0,32,42418,25950,14904,14905,42418,0.0275,0,0,14905
22,true,29.0,29,6087,3828,2131,2132,6087,0.0043,0,0,2132
23,true,38.0,38,153507,93242,54578,54579,153507,0.1149,0,0,54579
24,true,26.0,26,802,520,280,281,802,0.0005,0,0,281
25,true,36.0,36,33470,20800,11754,11755,33470,0.0221,0,0,11755
26,true,37.0,37,104357,63566,37216,37217,104357,0.0737,0,0,37217
27,true,36.0,36,123684,75029,43858,43859,123684,0.0888,0,0,43859
28,true,39.0,39,41429,25496,14970,14971,41429,0.0286,0,0,14971
29,true,40.0,40,214647,129444,76833,76834,214647,0.169,0,0,76834
30,true,30.0,30,12517,7792,4388,4389,12517,0.008,0,0,4389
31,true,36.0,36,73298,44851,26120,26121,73298,0.0511,0,0,26121
32,true,37.0,37,144033,87318,51290,51291,144033,0.1078,0,0,51291
33,true,25.0,25,3965,2493,1388,1389,3965,0.0024,0,0,1389
34,true,38.0,38,68624,42623,24287,24288,68624,0.0471,0,0,24288
35,true,39.0,39,232397,140868,82467,82468,232397,0.1764,0,0,82468
36,true,30.0,30,2893,1839,1013,1014,2893,0.002,0,0,1014
37,true,37.0,37,55658,34283,19774,19775,55658,0.0391,0,0,19775
38,true,22.0,22,717,462,244,245,717,0.0004,0,0,245
39,true,35.0,35,28980,18016,10283,10284,28980,0.0192,0,0,10284
40,true,33.0,33,39014,24184,13725,13726,39014,0.0262,0,0,13726
41,true,34.0,34,45072,27641,15857,15858,45072,0.0296,0,0,15858
42,true,40.0,40,137132,84253,48389,48390,137132,0.0991,0,0,48390
43,true,34.0,34,18327,11474,6456,6457,18327,0.0122,0,0,6457
44,true,37.0,37,277502,165161,98530,98531,277502,0.2145,0,0,98531
45,true,34.0,34,73757,45201,25898,25899,73757,0.0524,0,0,25899
46,true,39.0,39,226398,136903,80620,80621,226398,0.1736,0,0,80621
47,true,24.0,24,4410,2771,1532,1533,4410,0.0026,0,0,1533
48,true,31.0,31,22753,14060,7969,7970,22753,0.0147,0,0,7970
49,true,42.0,42,609761,364274,217705,217706,609761,0.5009,0,0,217706
50,true,40.0,40,99156,61136,35416,35417,99156,0.0721,0,0,35417
51,true,40.0,40,474878,285656,167914,167915,474878,0.3977,0,0,167915
52,true,32.0,32,59969,36492,21237,21238,59969,0.0437,0,0,21238
53,true,34.0,34,16004,10022,5618,5619,16004,0.0106,0,0,5619
54,true,33.0,33,52262,31806,18561,18562,52262,0.0454,0,0,18562
55,true,31.0,31,18770,11644,6632,6633,18770,0.0127,0,0,6633
56,true,25.0,25,593,386,207,208,593,0.0004,0,0,208
57,true,36.0,36,111647,68023,39454,39455,111647,0.0819,0,0,39455
58,true,39.0,39,169979,104280,60055,60056,169979,0.1268,0,0,60056
59,true,32.0,32,11707,7310,4123,4124,11707,0.0078,0,0,4124
60,true,37.0,37,106274,64687,37721,37722,106274,0.0767,0,0,37722
61,true,34.0,34,32066,19912,11327,11328,32066,0.0205,0,0,11328
62,true,38.0,38,39873,24656,14186,14187,39873,0.0279,0,0,14187
63,true,31.0,31,32515,19924,11476,11477,32515,0.0217,0,0,11477
64,true,37.0,37,41048,25300,14502,14503,41048,0.0284,0,0,14503
65,true,29.0,29,3166,1996,1111,1112,3166,0.0019,0,0,1112
66,true,34.0,34,97882,59610,34530,34531,97882,0.0699,0,0,34531
67,true,29.0,29,3042,1917,1077,1078,3042,0.002,0,0,1078
68,true,38.0,38,184077,111430,65206,65207,184077,0.1367,0,0,65207
69,true,40.0,40,594272,352634,211393,211394,594272,0.4895,0,0,211394
70,true,33.0,33,7539,4692,2677,2678,7539,0.0049,0,0,2678
71,true,42.0,42,414738,248884,148270,148271,414738,0.3228,0,0,148271
72,true,31.0,31,2274,1452,798,799,2274,0.0015,0,0,799
