run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,77.0,77,1721,1121,586,587,1721,0.0009,0,0,587
2,true,85.0,85,3016,1948,1030,1031,3016,0.0015,0,0,1031
3,true,51.0,51,564,365,193,194,564,0.0003,0,0,194
4,true,70.0,70,3736,2389,1287,1288,3736,0.0018,0,0,1288
5,true,71.0,71,5126,3294,1765,1766,5126,0.0026,0,0,1766
6,true,69.0,69,1104,710,382,383,1104,0.0005,0,0,383
7,true,76.0,76,1158,754,402,403,1158,0.0005,0,0,403
8,true,47.0,47,310,205,106,107,310,0.0001,0,0,107
9,true,70.0,70,4737,3016,1640,1641,4737,0.0023,0,0,1641
10,true,92.0,92,1249,808,436,437,1249,0.0006,0,0,437
11,true,64.0,64,3033,1949,1042,1043,3033,0.0014,0,0,1043
12,true,85.0,85,2370,1529,815,816,2370,0.0011,0,0,816
13,true,56.0,56,5387,3450,1848,1849,5387,0.0026,0,0,1849
14,true,98.0,98,7094,4516,2447,2448,7094,0.0036,0,0,2448
15,true,74.0,74,1461,942,505,506,1461,0.0007,0,0,506
16,true,60.0,60,2461,1587,848,849,2461,0.0012,0,0,849
17,true,91.0,91,1883,1210,654,655,1883,0.0009,0,0,655
18,true,68.0,68,1400,900,486,487,1400,0.0006,0,0,487
19,true,71.0,71,1887,1216,651,652,1887,0.0009,0,0,652
20,true,85.0,85,3643,2333,1255,1256,3643,0.0017,0,0,1256
21,true,66.0,66,2183,1413,740,741,2183,0.001,0,0,741
22,true,63.0,63,2148,1388,742,743,2148,0.001,0,0,743
23,true,56.0,56,726,472,248,249,726,0.0003,0,0,249
24,true,62.0,62,1904,1248,641,642,1904,0.0009,0,0,642
25,true,56.0,56,894,581,304,305,894,0.0004,0,0,305
26,true,99.0,99,3230,2094,1098,1099,3230,0.0015,0,0,1099
27,true,86.0,86,5354,3440,1839,1840,5354,0.0026,0,0,1840
28,true,109.0,109,4353,2793,1511,1512,4353,0.0021,0,0,1512
29,true,94.0,94,1374,903,467,468,1374,0.0006,0,0,468
30,true,52.0,52,903,586,307,308,903,0.0004,0,0,308
31,true,68.0,68,868,566,302,303,868,0.0004,0,0,303
32,true,65.0,65,3497,2232,1208,1209,3497,0.0017,0,0,1209
33,true,61.0,61,6707,4326,2296,2297,6707,0.0033,0,0,2297
