run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,41.0,41,7216,4553,2552,2553,7216,0.0042,25,25,2553
2,true,49.0,49,82428,51630,28892,28893,82428,0.0507,3054,3054,28893
3,true,35.0,35,739,481,253,254,739,0.0004,4,4,254
4,true,34.0,34,891,573,309,310,891,0.0004,8,8,310
5,true,35.0,35,6006,3828,2096,2097,6006,0.003,46,46,2097
6,true,45.0,45,8621,5509,3021,3022,8621,0.0044,169,169,3022
7,true,44.0,44,33962,21291,11945,11946,33962,0.0185,665,665,11946
8,true,41.0,41,5837,3736,2023,2024,5837,0.003,72,72,2024
9,true,40.0,40,11633,7372,4047,4048,11633,0.0067,105,105,4048
10,true,48.0,48,2833,1823,980,981,2833,0.0014,2,2,981
11,true,32.0,32,508,336,172,173,508,0.0002,1,1,173
12,true,45.0,45,2863,1846,993,994,2863,0.0015,26,26,994
13,true,38.0,38,30914,19251,10795,10796,30914,0.0177,445,445,10796
14,true,60.0,60,16626,10503,5847,5848,16626,0.009,249,249,5848
15,true,40.0,40,28095,17660,9841,9842,28095,0.0169,694,694,9842
16,true,30.0,30,1496,962,520,521,1496,0.0007,1,1,521
17,true,37.0,37,11046,7038,3856,3857,11046,0.0056,585,585,3857
18,true,34.0,34,7755,4900,2681,2682,7755,0.0038,286,301,2682
19,true,45.0,45,27603,17438,9589,9590,27603,0.0152,557,557,9590
20,true,41.0,41,589,378,207,208,589,0.0003,0,0,208
21,true,36.0,36,11220,7101,3890,3891,11220,0.0057,131,131,3891
22,true,31.0,31,3786,2409,1312,1313,3786,0.0018,15,15,1313
23,true,42.0,42,2339,1479,816,817,2339,0.0011,56,56,817
24,true,30.0,30,1005,656,344,345,1005,0.0005,2,2,345
25,true,38.0,38,3121,2001,1077,1078,3121,0.0015,213,213,1078
26,true,47.0,47,19469,12272,6844,6845,19469,0.0103,467,467,6845
27,true,38.0,38,22180,13980,7764,7765,22180,0.0116,451,451,7765
28,true,53.0,53,19278,12176,6798,6799,19278,0.0108,218,218,6799
29,true,46.0,46,44415,27846,15531,15532,44415,0.0249,1298,1298,15532
30,true,30.0,30,15871,9929,5522,5523,15871,0.0082,210,210,5523
31,true,40.0,40,9226,5879,3257,3258,9226,0.0048,93,93,3258
32,true,45.0,45,19912,12609,6915,6916,19912,0.011,390,390,6916
33,true,25.0,25,2227,1416,775,776,2227,0.0011,14,14,776
34,true,42.0,42,2774,1790,967,968,2774,0.0014,19,19,968
35,true,45.0,45,31986,20109,11139,11140,31986,0.0173,1539,1539,11140
