run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,77.0,77,1721,1121,586,587,1721,0.001,0,0,587
2,true,85.0,85,3022,1953,1031,1032,3022,0.0016,0,0,1032
3,true,51.0,51,564,365,193,194,564,0.0003,0,0,194
4,true,74.0,74,4256,2732,1452,1453,4256,0.0022,0,0,1453
5,true,71.0,71,5306,3409,1829,1830,5306,0.0029,0,0,1830
6,true,69.0,69,1104,710,382,383,1104,0.0005,0,0,383
7,true,76.0,76,1165,758,405,406,1165,0.0006,0,0,406
8,true,47.0,47,310,205,106,107,310,0.0002,0,0,107
9,true,70.0,70,4584,2917,1590,1591,4584,0.0023,0,0,1591
10,true,92.0,92,1249,808,436,437,1249,0.0006,0,0,437
11,true,64.0,64,2991,1923,1027,1028,2991,0.0015,0,0,1028
12,true,85.0,85,2408,1553,829,830,2408,0.0012,0,0,830
13,true,56.0,56,5396,3457,1851,1852,5396,0.0028,0,0,1852
14,true,98.0,98,7140,4550,2463,2464,7140,0.004,0,0,2464
15,true,74.0,74,1461,942,505,506,1461,0.0008,0,0,506
16,true,60.0,60,2442,1574,842,843,2442,0.0013,0,0,843
17,true,91.0,91,1865,1199,647,648,1865,0.0009,0,0,648
18,true,68.0,68,1400,900,486,487,1400,0.0007,0,0,487
19,true,71.0,71,1874,1207,647,648,1874,0.0009,0,0,648
20,true,85.0,85,3595,2306,1240,1241,3595,0.0018,0,0,1241
21,true,66.0,66,2183,1413,740,741,2183,0.0011,0,0,741
22,true,63.0,63,2088,1348,722,723,2088,0.0011,0,0,723
23,true,56.0,56,726,472,248,249,726,0.0004,0,0,249
24,true,62.0,62,1947,1274,658,659,1947,0.0015,0,0,659
25,true,56.0,56,894,581,304,305,894,0.0006,0,0,305
26,true,99.0,99,3269,2113,1113,1114,3269,0.0022,0,0,1114
27,true,76.0,76,1755,1134,606,607,1755,0.0008,0,0,607
28,true,109.0,109,4358,2796,1513,1514,4358,0.0022,0,0,1514
29,true,94.0,94,1372,902,466,467,1372,0.0007,0,0,467
30,true,52.0,52,903,585,308,309,903,0.0004,0,0,309
31,true,68.0,68,868,566,302,303,868,0.0004,0,0,303
32,true,65.0,65,3468,2216,1197,1198,3468,0.0021,0,0,1198
33,true,75.0,75,7147,4616,2445,2446,7147,0.0047,0,0,2446
34,true,64.0,64,848,552,293,294,848,0.0005,0,0,294
35,true,55.0,55,577,376,199,200,577,0.0003,0,0,200
36,true,48.0,48,3370,2168,1147,1148,3370,0.0018,0,0,1148
37,true,73.0,73,1185,772,408,409,1185,0.0006,0,0,409
38,true,40.0,40,1147,737,393,394,1147,0.0006,0,0,394
39,true,89.0,89,5687,3649,1950,1951,5687,0.0035,0,0,1951
40,true,71.0,71,4389,2829,1501,1502,4389,0.0023,0,0,1502
41,true,74.0,74,7603,4881,2622,2623,7603,0.0042,0,0,2623
42,true,74.0,74,3979,2553,1356,1357,3979,0.0021,0,0,1357
43,true,64.0,64,1696,1100,577,578,1696,0.0009,0,0,578
44,true,63.0,63,2507,1619,855,856,2507,0.0012,0,0,856
45,true,52.0,52,715,465,243,244,715,0.0003,0,0,244
46,true,79.0,79,2432,1561,844,845,2432,0.0014,0,0,845
47,true,40.0,40,1113,720,377,378,1113,0.001,0,0,378
48,true,65.0,65,6423,4100,2220,2221,6423,0.0034,0,0,2221
49,true,80.0,80,2016,1296,698,699,2016,0.001,0,0,699
50,true,104.0,104,5916,3791,2046,2047,5916,0.0031,0,0,2047
51,true,72.0,72,2200,1420,753,754,2200,0.0011,0,0,754
52,true,58.0,58,1618,1040,560,561,1618,0.0008,0,0,561
53,true,86.0,86,6966,4461,2398,2399,6966,0.0037,0,0,2399
54,true,69.0,69,4098,2620,1408,1409,4098,0.0021,0,0,1409
55,true,81.0,81,6947,4436,2388,2389,6947,0.0037,0,0,2389
56,true,65.0,65,1783,1154,609,610,1783,0.0009,0,0,610
57,true,90.0,90,8888,5685,3061,3062,8888,0.0048,0,0,3062
58,true,73.0,73,1985,1283,681,682,1985,0.001,0,0,682
59,true,84.0,84,1742,1127,597,598,1742,0.0009,0,0,598
60,true,71.0,71,6336,4047,2195,2196,6336,0.0033,0,0,2196
61,true,78.0,78,973,634,330,331,973,0.0005,0,0,331
62,true,100.0,100,5461,3499,1881,1882,5461,0.0029,0,0,1882
63,true,67.0,67,3758,2411,1291,1292,3758,0.0019,0,0,1292
64,true,81.0,81,1032,680,353,354,1032,0.0005,0,0,354
65,true,75.0,75,3038,1965,1042,1043,3038,0.0015,0,0,1043
66,true,54.0,54,996,635,352,353,996,0.0005,0,0,353
67,true,71.0,71,2016,1300,691,692,2016,0.001,0,0,692
68,true,86.0,86,2570,1662,884,885,2570,0.0013,0,0,885
69,true,96.0,96,2100,1357,725,726,2100,0.001,0,0,726
70,true,87.0,87,4197,2713,1431,1432,4197,0.0021,0,0,1432
