run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,41.0,41,7686,4860,2708,2709,7686,0.0063,44,44,2709
2,true,51.0,51,82902,51935,29050,29051,82902,0.0588,4779,4779,29051
3,true,35.0,35,702,458,241,242,702,0.0004,1,1,242
4,true,34.0,34,954,611,332,333,954,0.0005,10,10,333
5,true,35.0,35,8572,5466,2977,2978,8572,0.0051,125,125,2978
6,true,43.0,43,9565,6094,3355,3356,9565,0.0055,183,185,3356
7,true,44.0,44,26084,16391,9196,9197,26084,0.0155,658,658,9197
8,true,41.0,41,8997,5728,3122,3123,8997,0.0052,195,195,3123
9,true,40.0,40,11095,7045,3855,3856,11095,0.0065,137,137,3856
10,true,44.0,44,1309,842,454,455,1309,0.0007,35,35,455
11,true,32.0,32,634,418,214,215,634,0.0003,3,3,215
12,true,45.0,45,2561,1644,894,895,2561,0.0014,30,30,895
13,true,40.0,40,30083,18781,10513,10514,30083,0.0184,667,667,10514
14,true,60.0,60,19122,12097,6732,6733,19122,0.0112,550,550,6733
15,true,40.0,40,18526,11681,6506,6507,18526,0.0114,416,416,6507
16,true,30.0,30,1082,698,376,377,1082,0.0006,2,2,377
17,true,43.0,43,15349,9734,5366,5367,15349,0.0087,978,978,5367
18,true,34.0,34,8780,5522,3060,3061,8780,0.0048,455,461,3061
19,true,43.0,43,26649,16890,9233,9234,26649,0.0159,803,804,9234
20,true,41.0,41,872,559,305,306,872,0.0005,35,35,306
21,true,36.0,36,8206,5212,2844,2845,8206,0.0045,117,117,2845
22,true,31.0,31,4410,2797,1529,1530,4410,0.0025,24,24,1530
23,true,42.0,42,4364,2768,1510,1511,4364,0.0022,169,169,1511
24,true,32.0,32,1090,711,372,373,1090,0.0006,1,1,373
25,true,46.0,46,3607,2309,1234,1235,3607,0.0019,125,125,1235
26,true,47.0,47,20554,12948,7223,7224,20554,0.0119,847,847,7224
27,true,38.0,38,25136,15842,8790,8791,25136,0.0147,709,709,8791
28,true,53.0,53,21529,13612,7598,7599,21529,0.0129,443,443,7599
29,true,48.0,48,29896,18818,10492,10493,29896,0.0177,1017,1017,10493
30,true,36.0,36,13999,8795,4866,4867,13999,0.0079,346,346,4867
31,true,40.0,40,11154,7109,3939,3940,11154,0.0065,112,112,3940
32,true,43.0,43,19552,12393,6789,6790,19552,0.012,366,367,6790
33,true,25.0,25,1944,1244,675,676,1944,0.0011,13,13,676
34,true,42.0,42,2718,1763,938,939,2718,0.0014,31,31,939
35,true,45.0,45,33974,21388,11814,11815,33974,0.0202,1890,1890,11815
36,true,32.0,32,1156,747,400,401,1156,0.0006,8,8,401
37,true,45.0,45,2376,1527,834,835,2376,0.0012,28,28,835
38,true,26.0,26,1438,911,496,497,1438,0.0007,38,38,497
39,true,45.0,45,8506,5435,2974,2975,8506,0.0049,82,82,2975
40,true,35.0,35,5997,3828,2094,2095,5997,0.0036,123,124,2095
41,true,38.0,38,6640,4204,2326,2327,6640,0.0037,129,129,2327
42,true,50.0,50,5739,3677,1997,1998,5739,0.003,45,45,1998
43,true,42.0,42,9303,5901,3221,3222,9303,0.0054,211,211,3222
44,true,39.0,39,11239,7035,3948,3949,11239,0.0063,314,314,3949
45,true,34.0,34,32426,20424,11292,11293,32426,0.0203,932,944,11293
46,true,41.0,41,3492,2225,1227,1228,3492,0.0019,38,38,1228
47,true,26.0,26,4857,3078,1681,1682,4857,0.0027,84,84,1682
48,true,33.0,33,6096,3818,2122,2123,6096,0.0032,93,93,2123
49,true,44.0,44,12269,7749,4276,4277,12269,0.0072,202,208,4277
50,true,50.0,50,9235,5869,3266,3267,9235,0.0052,397,397,3267
51,true,42.0,42,3181,2024,1113,1114,3181,0.0017,50,50,1114
52,true,42.0,42,48822,30378,17018,17019,48822,0.0322,1218,1218,17019
53,true,40.0,40,17007,10765,5876,5877,17007,0.0102,237,237,5877
54,true,37.0,37,5169,3296,1787,1788,5169,0.0029,191,191,1788
55,true,39.0,39,22631,14145,7942,7943,22631,0.0137,471,471,7943
56,true,31.0,31,359,237,123,124,359,0.0002,1,1,124
57,true,42.0,42,8230,5227,2875,2876,8230,0.0046,89,89,2876
58,true,45.0,45,16214,10308,5649,5650,16214,0.0095,402,402,5650
59,true,40.0,40,5730,3644,1997,1998,5730,0.0032,120,120,1998
60,true,43.0,43,4881,3119,1703,1704,4881,0.0029,55,55,1704
61,true,36.0,36,1224,796,421,422,1224,0.0006,2,2,422
62,true,48.0,48,1120,719,391,392,1120,0.0006,1,1,392
63,true,35.0,35,13864,8718,4838,4839,13864,0.0082,194,194,4839
64,true,41.0,41,2591,1673,900,901,2591,0.0014,5,5,901
65,true,39.0,39,7395,4667,2561,2562,7395,0.0041,157,157,2562
66,true,36.0,36,15517,9772,5447,5448,15517,0.0093,317,317,5448
67,true,37.0,37,3438,2196,1192,1193,3438,0.0019,53,53,1193
68,true,42.0,42,17632,11226,6167,6168,17632,0.0102,399,399,6168
69,true,42.0,42,16199,10219,5687,5688,16199,0.0093,260,260,5688
70,true,35.0,35,1202,773,420,421,1202,0.0006,10,10,421
71,true,50.0,50,8338,5278,2905,2906,8338,0.0045,273,273,2906
72,true,35.0,35,419,278,142,143,419,0.0002,0,0,143
73,true,43.0,43,2567,1648,893,894,2567,0.0013,254,254,894
74,true,40.0,40,3536,2239,1256,1257,3536,0.0019,39,39,1257
75,true,41.0,41,6636,4177,2328,2329,6636,0.0036,122,122,2329
76,true,42.0,42,5365,3397,1903,1904,5365,0.003,40,40,1904
77,true,32.0,32,4509,2894,1559,1560,4509,0.0024,74,74,1560
78,true,28.0,28,8410,5344,2918,2919,8410,0.0046,127,127,2919
79,true,46.0,46,4726,3008,1653,1654,4726,0.0025,69,69,1654
80,true,32.0,32,2625,1682,907,908,2625,0.0015,112,112,908
81,true,33.0,33,4657,2967,1603,1604,4657,0.0024,207,207,1604
82,true,50.0,50,26727,16889,9345,9346,26727,0.0158,607,607,9346
83,true,53.0,53,7309,4636,2559,2560,7309,0.0042,131,131,2560
84,true,34.0,34,54780,33810,19201,19202,54780,0.0355,2069,2081,19202
85,true,35.0,35,4057,2572,1413,1414,4057,0.0023,86,86,1414
86,true,36.0,36,6947,4429,2409,2410,6947,0.0039,228,228,2410
87,true,43.0,43,5148,3265,1773,1774,5148,0.0029,81,81,1774
88,true,38.0,38,4247,2716,1483,1484,4247,0.0022,90,90,1484
89,true,44.0,44,8191,5165,2863,2864,8191,0.0044,128,128,2864
90,true,45.0,45,492,319,172,173,492,0.0003,0,0,173
91,true,50.0,50,60284,37808,21119,21120,60284,0.0388,1149,1149,21120
92,true,52.0,52,30305,19248,10546,10547,30305,0.0185,515,515,10547
93,true,39.0,39,3574,2283,1245,1246,3574,0.0018,36,36,1246
94,true,46.0,46,15830,9848,5545,5546,15830,0.009,372,372,5546
95,true,32.0,32,3851,2454,1321,1322,3851,0.0021,81,81,1322
96,true,40.0,40,12899,8195,4543,4544,12899,0.0072,525,525,4544
97,true,42.0,42,1392,891,490,491,1392,0.0007,44,45,491
98,true,39.0,39,5985,3780,2094,2095,5985,0.0033,102,102,2095
99,true,42.0,42,56869,35602,19907,19908,56869,0.0352,2205,2247,19908
100,true,46.0,46,21871,13873,7620,7621,21871,0.013,694,694,7621
