run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,26.0,26,453,435,157,158,433,0.0002,2,435
2,true,25.0,25,1336,1313,485,486,1309,0.0005,4,1313
3,true,22.0,22,3872,3851,1348,1349,3847,0.0015,4,3851
4,true,26.0,26,12656,12634,4454,4455,12631,0.005,3,12634
5,true,31.0,31,27338,27318,10038,10039,27314,0.0093,4,27318
6,true,28.0,28,61215,61192,21311,21312,61187,0.017,5,61192
7,true,29.0,29,38009,37978,13428,13429,37975,0.009,3,37978
8,true,35.0,35,14711,14674,5343,5344,14671,0.0032,3,14674
9,true,31.0,31,92501,92471,32043,32044,92468,0.0196,3,92471
10,true,29.0,29,30629,30600,10784,10785,30597,0.0065,3,30600
