run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,221419,133218,78195,78196,221419,0.1863,0,0,78196
2,true,37.0,37,222882,134123,78697,78698,222882,0.1683,0,0,78698
3,true,37.0,37,219256,131875,77443,77444,219256,0.1661,0,0,77444run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,222479,133869,78559,78560,222479,0.1676,0,0,78560
2,true,37.0,37,221165,133063,78103,78104,221165,0.1676,0,0,78104
3,true,37.0,37,222455,133850,78554,78555,222455,0.1862,0,0,78555run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,219546,132064,77538,77539,219546,0.1685,0,0,77539
2,true,37.0,37,219596,132088,77559,77560,219596,0.1856,0,0,77560
3,true,37.0,37,219711,132163,77592,77593,219711,0.1782,0,0,77593run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,219183,131828,77416,77417,219183,0.1681,0,0,77417
2,true,37.0,37,219677,132135,77585,77586,219677,0.1674,0,0,77586
3,true,37.0,37,219729,132171,77605,77606,219729,0.1677,0,0,77606run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,222516,133880,78574,78575,222516,0.1707,0,0,78575
2,true,37.0,37,221173,133056,78108,78109,221173,0.167,0,0,78109
3,true,37.0,37,222247,133723,78481,78482,222247,0.1682,0,0,78482run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,222858,134112,78690,78691,222858,0.1686,0,0,78691
2,true,37.0,37,221466,133254,78203,78204,221466,0.1671,0,0,78204
3,true,37.0,37,221629,133345,78269,78270,221629,0.1673,0,0,78270run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,219678,132135,77585,77586,219678,0.1678,0,0,77586
2,true,37.0,37,220029,132367,77708,77709,220029,0.1671,0,0,77709
3,true,37.0,37,222793,134063,78666,78667,222793,0.1682,0,0,78667run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,220372,132566,77830,77831,220372,0.1695,0,0,77831
2,true,37.0,37,220445,132626,77846,77847,220445,0.1653,0,0,77847
3,true,37.0,37,220310,132521,77805,77806,220310,0.166,0,0,77806run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,221706,133402,78291,78292,221706,0.1677,0,0,78292
2,true,37.0,37,222946,134156,78719,78720,222946,0.1692,0,0,78720
3,true,37.0,37,222267,133742,78485,78486,222267,0.1671,0,0,78486run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,37.0,37,219655,132127,77572,77573,219655,0.1653,0,0,77573
2,true,37.0,37,222903,134138,78704,78705,222903,0.1685,0,0,78705
3,true,37.0,37,219513,132031,77530,77531,219513,0.1648,0,0,77531
