run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,845846,547243,298600,298601,547233,0.1703,10,547243
2,true,37.0,37,1225448,792705,432741,432742,792695,0.2253,10,792705
3,true,37.0,37,1667514,1079144,588368,588369,1079134,0.3065,10,1079144run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,1225121,792635,432482,432483,792625,0.2266,10,792635
2,true,37.0,37,2317662,1499811,817852,817853,1499801,0.4281,10,1499811
3,true,37.0,37,1902591,1231112,671476,671477,1231102,0.35,10,1231112run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,2327111,1505817,821298,821299,1505807,0.4268,10,1505817
2,true,37.0,37,981500,634726,346773,346774,634716,0.1799,10,634726
3,true,37.0,37,1192664,771721,420940,420941,771711,0.2189,10,771721run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,991895,641940,349950,349951,641930,0.1826,10,641940
2,true,37.0,37,1269521,821662,447852,447853,821652,0.2337,10,821662
3,true,37.0,37,760756,492044,268705,268706,492034,0.1399,10,492044run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,2025922,1310772,715148,715149,1310762,0.3715,10,1310772
2,true,37.0,37,2073234,1341514,731719,731720,1341504,0.3809,10,1341514
3,true,37.0,37,1493321,966040,527279,527280,966030,0.2752,10,966040run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,2067218,1338088,729128,729129,1338078,0.3804,10,1338088
2,true,37.0,37,1130794,731220,399573,399574,731210,0.2077,10,731220
3,true,37.0,37,848464,548902,299559,299560,548892,0.1561,10,548902run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,1458520,943441,515075,515076,943431,0.2675,10,943441
2,true,37.0,37,848177,548893,299279,299280,548883,0.1559,10,548893
3,true,37.0,37,1172691,758868,413824,413825,758858,0.2153,10,758868run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,781917,505871,276037,276038,505861,0.1433,10,505871
2,true,37.0,37,1759383,1138725,620652,620653,1138715,0.3239,10,1138725
3,true,37.0,37,1570090,1015804,554287,554288,1015794,0.3154,10,1015804run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,1990490,1287955,702533,702534,1287945,0.3668,10,1287955
2,true,37.0,37,830950,537577,293364,293365,537567,0.1525,10,537577
3,true,37.0,37,742508,480335,262166,262167,480325,0.1363,10,480335run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,37.0,37,2229690,1442813,786874,786875,1442803,0.4133,10,1442813
2,true,37.0,37,1175825,760972,414847,414848,760962,0.2165,10,760972
3,true,37.0,37,1146653,741997,404651,404652,741987,0.2097,10,741997
