run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,77.0,77,1432,935,487,488,1432,0.0012,0,0,488
2,true,87.0,87,3851,2472,1319,1320,3851,0.0042,0,0,1320
3,true,51.0,51,495,325,167,168,495,0.0004,0,0,168
4,true,98.0,98,1756,1135,602,603,1756,0.0016,0,0,603
5,true,67.0,67,1280,828,439,440,1280,0.0011,0,0,440
6,true,69.0,69,1182,762,406,407,1182,0.001,0,0,407
7,true,94.0,94,1932,1244,671,672,1932,0.0017,0,0,672
8,true,47.0,47,310,205,106,107,310,0.0003,0,0,107
9,true,72.0,72,1496,959,520,521,1496,0.0013,0,0,521
10,true,94.0,94,1769,1139,613,614,1769,0.0013,0,0,614
11,true,64.0,64,2172,1404,742,743,2172,0.0016,0,0,743
12,true,89.0,89,3031,1932,1050,1051,3031,0.0022,0,0,1051
13,true,80.0,80,2275,1455,788,789,2275,0.0017,0,0,789
14,true,98.0,98,6970,4459,2403,2404,6970,0.0054,0,0,2404
15,true,62.0,62,728,476,250,251,728,0.0005,0,0,251
16,true,58.0,58,2627,1693,906,907,2627,0.0016,0,0,907
17,true,95.0,95,3934,2518,1349,1350,3934,0.0024,0,0,1350
18,true,84.0,84,1997,1292,683,684,1997,0.0012,0,0,684
19,true,71.0,71,957,617,336,337,957,0.0006,0,0,337
20,true,85.0,85,4603,2956,1588,1589,4603,0.0028,0,0,1589
21,true,80.0,80,5203,3331,1788,1789,5203,0.0029,0,0,1789
22,true,63.0,63,1607,1044,554,555,1607,0.0009,0,0,555
23,true,58.0,58,913,591,314,315,913,0.0005,0,0,315
24,true,58.0,58,1149,755,383,384,1149,0.0006,0,0,384
25,true,56.0,56,995,643,337,338,995,0.0005,0,0,338
26,true,105.0,105,2323,1501,793,794,2323,0.0012,0,0,794
27,true,88.0,88,1839,1181,637,638,1839,0.001,0,0,638
28,true,111.0,111,2645,1710,910,911,2645,0.0014,0,0,911
29,true,94.0,94,1474,967,499,500,1474,0.0007,0,0,500
30,true,58.0,58,777,507,263,264,777,0.0004,0,0,264
31,true,68.0,68,1181,765,412,413,1181,0.0006,0,0,413
32,true,67.0,67,4483,2868,1544,1545,4483,0.0022,0,0,1545
33,true,67.0,67,3034,1955,1031,1032,3034,0.0015,0,0,1032
34,true,80.0,80,3119,2013,1061,1062,3119,0.0015,0,0,1062
35,true,55.0,55,593,386,205,206,593,0.0003,0,0,206
36,true,50.0,50,3456,2209,1192,1193,3456,0.0017,0,0,1193
37,true,77.0,77,1202,787,410,411,1202,0.0006,0,0,411
38,true,40.0,40,1862,1187,644,645,1862,0.0009,0,0,645
39,true,97.0,97,1804,1175,615,616,1804,0.0009,0,0,616
40,true,85.0,85,6088,3905,2085,2086,6088,0.0031,0,0,2086
41,true,78.0,78,3031,1938,1051,1052,3031,0.0014,0,0,1052
42,true,90.0,90,1789,1154,614,615,1789,0.0009,0,0,615
43,true,68.0,68,1210,787,410,411,1210,0.0006,0,0,411
44,true,65.0,65,2760,1774,942,943,2760,0.0013,0,0,943
45,true,58.0,58,723,472,245,246,723,0.0003,0,0,246
46,true,87.0,87,2442,1575,841,842,2442,0.0012,0,0,842
47,true,40.0,40,1528,988,519,520,1528,0.0007,0,0,520
