run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_iterations,num_search_steps
1,true,135.0,135,859,463,291,292,462,0.0002,1,463
2,true,205.0,205,3001,1828,1018,1019,1826,0.0008,2,1828
3,true,199.0,199,2788,1690,953,954,1689,0.0005,1,1690
4,true,186.0,186,55093,36345,18619,18620,36344,0.0139,1,36345
5,true,147.0,147,3513,2210,1209,1210,2209,0.0008,1,2210
6,true,187.0,187,11027,7165,3741,3742,7162,0.0025,3,7165
7,true,156.0,156,4278,2716,1467,1468,2712,0.001,4,2716
8,true,185.0,185,1010,527,344,345,525,0.0002,2,527
9,true,156.0,156,58183,38349,19724,19725,38348,0.0123,1,38349
10,true,232.0,232,2768,1658,958,959,1655,0.0005,3,1658
11,true,148.0,148,66244,43484,22662,22663,43482,0.0117,2,43484
12,true,229.0,229,24890,16308,8425,8426,16305,0.0038,3,16308
13,true,124.0,124,26781,17540,9146,9147,17539,0.0041,1,17540
14,true,276.0,276,17232,11098,5936,5937,11096,0.0026,2,11098
15,true,170.0,170,10867,7112,3642,3643,7110,0.0017,2,7112
16,true,110.0,110,2242,1403,766,767,1402,0.0003,1,1403
17,true,175.0,175,7835,5043,2680,2681,5042,0.0012,1,5043
18,true,188.0,188,22393,14716,7555,7556,14714,0.0035,2,14716
19,true,193.0,193,6013,3838,2051,2052,3837,0.0009,1,3838
20,true,195.0,195,31559,20499,10922,10923,20498,0.0048,1,20499
21,true,128.0,128,6395,4158,2159,2160,4156,0.001,2,4158
22,true,125.0,125,57366,37957,19317,19318,37956,0.0089,1,37957
23,true,224.0,224,15754,10293,5305,5306,10292,0.0024,1,10293
24,true,158.0,158,1070,600,366,367,599,0.0002,1,600
25,true,206.0,206,1379,752,473,474,750,0.0002,2,752
26,true,197.0,197,4881,3095,1651,1652,3093,0.0007,2,3095
27,true,142.0,142,2169,1336,729,730,1335,0.0003,1,1336
28,true,235.0,235,3504,2139,1203,1204,2138,0.0005,1,2139
29,true,226.0,226,2945,1807,993,994,1806,0.0004,1,1807
30,true,124.0,124,1802,1092,623,624,1091,0.0003,1,1092
31,true,146.0,146,2267,1397,781,782,1395,0.0003,2,1397
32,true,189.0,189,10422,6801,3486,3487,6800,0.0016,1,6801
33,true,83.0,83,81330,53222,28057,28058,53219,0.0125,3,53222
34,true,224.0,224,24458,16037,8270,8271,16036,0.0038,1,16037
35,true,227.0,227,1410,757,480,481,756,0.0002,1,757
36,true,168.0,168,36247,23874,12255,12256,23872,0.0056,2,23874
37,true,195.0,195,5448,3419,1886,1887,3417,0.0008,2,3419
38,true,88.0,88,9238,6020,3161,3162,6019,0.0014,1,6020
39,true,191.0,191,1865,1086,637,638,1085,0.0003,1,1086
40,true,165.0,165,3053,1911,1034,1035,1908,0.0004,3,1911
41,true,154.0,154,156896,103529,53264,53265,103527,0.0242,2,103529
42,true,238.0,238,5785,3634,1967,1968,3632,0.0009,2,3634
43,true,188.0,188,1102,593,377,378,591,0.0001,2,593
44,true,127.0,127,80923,53537,27305,27306,53536,0.0125,1,53537
45,true,128.0,128,2817,1757,961,962,1755,0.0004,2,1757
46,true,189.0,189,7888,5092,2646,2647,5091,0.0012,1,5092
47,true,60.0,60,120821,79404,41387,41388,79403,0.0186,1,79404
48,true,109.0,109,710,401,243,244,399,0.0001,2,401
49,true,218.0,218,7041,4500,2378,2379,4499,0.0011,1,4500
50,true,224.0,224,143106,94656,48285,48286,94654,0.0221,2,94656
51,true,204.0,204,2180,1287,748,749,1286,0.0003,1,1287
52,true,120.0,120,3774,2378,1315,1316,2377,0.0006,1,2378
53,true,186.0,186,26674,17533,9023,9024,17531,0.0041,2,17533
54,true,145.0,145,2135,1323,718,719,1320,0.0003,3,1323
55,true,149.0,149,17939,11795,6056,6057,11793,0.0028,2,11795
56,true,141.0,141,735,390,252,253,388,0.0001,2,390
57,true,166.0,166,99483,64934,34428,34429,64933,0.0151,1,64934
58,true,207.0,207,25636,16791,8701,8702,16788,0.0039,3,16791
59,true,160.0,160,10768,6949,3694,3695,6948,0.0016,1,6949
60,true,187.0,187,24787,16202,8443,8444,16201,0.0038,1,16202
61,true,154.0,154,28169,18270,9786,9787,18268,0.0043,2,18270
62,true,248.0,248,6687,4201,2307,2308,4200,0.001,1,4201
63,true,117.0,117,7763,5028,2662,2663,5026,0.0012,2,5028
64,true,181.0,181,2432,1480,827,828,1479,0.0004,1,1480
65,true,189.0,189,31906,20680,11082,11083,20679,0.0048,1,20680
66,true,134.0,134,1201,681,406,407,680,0.0002,1,681
67,true,135.0,135,2551,1572,876,877,1570,0.0004,2,1572
68,true,158.0,158,9206,5962,3139,3140,5961,0.0014,1,5962
69,true,184.0,184,1699,979,585,586,978,0.0002,1,979
70,true,215.0,215,2549,1514,871,872,1513,0.0004,1,1514
71,true,220.0,220,41013,26876,13970,13971,26875,0.0063,1,26876
72,true,195.0,195,49590,32258,17191,17192,32257,0.0075,1,32258
73,true,185.0,185,9475,6079,3264,3265,6077,0.0014,2,6079
74,true,162.0,162,1212,686,415,416,682,0.0002,4,686
75,true,145.0,145,37451,24742,12612,12613,24741,0.0058,1,24742
76,true,138.0,138,20594,13371,7131,7132,13370,0.0031,1,13371
77,true,120.0,120,1785,1077,617,618,1076,0.0003,1,1077
