run_id,plan_found,plan_cost,plan_length,num_actions_generated,num_evals,num_get_actions_calls,num_goal_tests,num_states_generated,search_time_seconds,num_reexpansions,num_reopenings,num_search_steps
1,true,3.828427,3,40,21,5,6,40,0.0000,0,0,6
2,true,3.414214,3,40,19,5,6,40,0.0000,0,0,6
3,true,2.414214,2,24,15,3,4,24,0.0000,0,0,4
4,true,2.414214,2,24,15,3,4,24,0.0000,0,0,4
5,true,3.828427,3,40,21,5,6,40,0.0000,0,0,6
6,true,2.414214,2,24,15,3,4,24,0.0000,0,0,4
7,true,3.828427,3,40,21,5,6,40,0.0000,0,0,6
8,true,2.414214,2,24,15,3,4,24,0.0000,0,0,4
9,true,1.0,1,8,9,1,2,8,0.0000,0,0,2
10,true,1.0,1,5,6,1,2,5,0.0000,0,0,2
11,true,6.656854,5,71,32,9,10,71,0.0000,0,0,10
12,true,4.0,4,32,18,4,5,32,0.0000,0,0,5
13,true,7.0,7,56,27,7,8,56,0.0000,0,0,8
14,true,7.242641,6,120,39,15,16,120,0.0000,0,0,16
15,true,6.414214,6,88,31,11,12,88,0.0000,0,0,12
16,true,5.242641,4,56,27,7,8,56,0.0000,0,0,8
17,true,7.242641,6,111,34,15,16,111,0.0000,0,0,16
18,true,4.0,4,32,18,4,5,32,0.0000,0,0,5
19,true,5.656854,4,32,24,4,5,32,0.0000,0,0,5
20,true,6.414214,6,85,28,11,12,85,0.0000,0,0,12
21,true,10.414214,10,152,47,19,20,152,0.0000,0,0,20
22,true,11.313708,8,63,43,8,9,63,0.0000,0,0,9
23,true,11.899495,9,180,59,23,24,180,0.0000,0,0,24
24,true,10.899495,8,120,51,15,16,120,0.0000,0,0,16
25,true,10.242641,9,216,57,27,28,216,0.0000,0,0,28
26,true,9.828427,9,110,37,17,18,110,0.0000,0,0,18
27,true,10.414214,10,152,47,19,20,152,0.0000,0,0,20
28,true,10.0,10,80,36,10,11,80,0.0000,0,0,11
29,true,10.485281,8,160,54,20,21,160,0.0000,0,0,21
30,true,10.414214,10,260,72,35,36,260,0.0000,0,0,36
31,true,14.899495,12,314,78,42,43,314,0.0000,0,0,43
32,true,15.485281,13,440,99,55,56,440,0.0000,0,0,56
33,true,15.656854,14,273,72,37,38,273,0.0000,0,0,38
34,true,15.656854,14,432,96,54,55,432,0.0000,0,0,55
35,true,15.071068,13,343,83,44,45,343,0.0000,0,0,45
36,true,14.656854,13,392,89,49,50,392,0.0000,0,0,50
37,true,14.656854,13,252,69,33,34,252,0.0000,0,0,34
38,true,12.828427,12,256,66,32,33,256,0.0000,0,0,33
39,true,15.414214,15,229,64,29,30,229,0.0000,0,0,30
40,true,12.899495,10,248,71,31,32,248,0.0000,0,0,32
41,true,16.727922,13,392,99,49,50,392,0.0000,0,0,50
42,true,18.828427,18,400,96,50,51,400,0.0000,0,0,51
43,true,16.970563,12,96,64,12,13,96,0.0000,0,0,13
44,true,16.485281,14,480,102,62,63,480,0.0000,0,0,63
45,true,19.828427,19,424,101,53,54,424,0.0000,0,0,54
46,true,19.384776,14,213,84,27,28,213,0.0000,0,0,28
47,true,16.071068,14,273,74,37,38,273,0.0000,0,0,38
48,true,18.656854,17,552,117,69,70,552,0.0000,0,0,70
49,true,19.899495,17,435,105,58,59,435,0.0000,0,0,59
50,true,16.142136,12,256,82,32,33,256,0.0000,0,0,33
51,true,23.79899,18,507,129,66,67,507,0.0000,0,0,67
52,true,23.656854,22,664,134,88,89,664,0.0000,0,0,89
53,true,21.556349,17,663,144,83,84,663,0.0000,0,0,84
54,true,23.071068,21,808,159,101,102,808,0.0001,0,0,102
55,true,23.242641,22,632,135,79,80,632,0.0000,0,0,80
56,true,22.142136,18,739,151,94,95,739,0.0001,0,0,95
57,true,20.313708,17,631,132,81,82,631,0.0000,0,0,82
58,true,22.899495,20,888,171,111,112,888,0.0001,0,0,112
59,true,21.142136,17,640,137,81,82,640,0.0000,0,0,82
60,true,23.727922,20,952,183,119,120,952,0.0001,0,0,120
61,true,25.627417,19,536,143,67,68,536,0.0000,0,0,68
62,true,25.142136,21,1045,196,131,132,1045,0.0001,0,0,132
63,true,27.899495,25,1255,247,166,167,1255,0.0001,0,0,167
64,true,24.0,24,192,78,24,25,192,0.0000,0,0,25
65,true,24.899495,22,1016,191,127,128,1016,0.0002,0,0,128
66,true,27.414214,27,424,115,53,54,424,0.0001,0,0,54
67,true,27.384776,22,1112,215,139,140,1112,0.0002,0,0,140
68,true,26.071068,24,623,135,85,86,623,0.0001,0,0,86
69,true,27.313708,24,1106,204,142,143,1106,0.0002,0,0,143
70,true,27.627417,21,806,179,101,102,806,0.0002,0,0,102
71,true,28.828427,28,640,146,80,81,640,0.0001,0,0,81
72,true,31.313708,28,1065,223,145,146,1065,0.0002,0,0,146
73,true,28.556349,24,1156,217,147,148,1156,0.0002,0,0,148
74,true,29.828427,29,432,119,57,58,432,0.0001,0,0,58
75,true,31.242641,30,873,178,111,112,873,0.0002,0,0,112
76,true,31.313708,28,1228,253,166,167,1228,0.0002,0,0,167
77,true,29.899495,27,1276,232,162,163,1276,0.0002,0,0,163
78,true,28.041631,21,712,171,89,90,712,0.0001,0,0,90
79,true,29.142136,25,1400,251,175,176,1400,0.0002,0,0,176
80,true,28.313708,25,1288,233,161,162,1288,0.0001,0,0,162
81,true,33.414214,33,520,139,65,66,520,0.0000,0,0,66
82,true,35.656854,34,382,113,59,60,382,0.0000,0,0,60
83,true,32.213203,26,1528,279,191,192,1528,0.0001,0,0,192
84,true,33.556349,29,1816,313,227,228,1816,0.0001,0,0,228
85,true,35.941125,26,590,178,74,75,590,0.0000,0,0,75
86,true,35.213203,29,1912,333,239,240,1912,0.0001,0,0,240
87,true,33.79899,28,1527,274,195,196,1527,0.0001,0,0,196
88,true,33.284271,25,999,220,125,126,999,0.0001,0,0,126
89,true,34.142136,30,1112,234,149,150,1112,0.0001,0,0,150
90,true,34.941125,25,392,153,49,50,392,0.0000,0,0,50
91,true,37.313708,34,1936,332,242,243,1936,0.0001,0,0,243
92,true,39.0,39,312,123,39,40,312,0.0001,0,0,40
93,true,39.526912,30,1411,286,177,178,1411,0.0003,0,0,178
94,true,36.656854,35,1272,243,159,160,1272,0.0002,0,0,160
95,true,39.213203,33,1593,299,208,209,1593,0.0003,0,0,209
96,true,37.071068,35,1480,271,185,186,1480,0.0003,0,0,186
97,true,36.414214,36,568,151,71,72,568,0.0001,0,0,72
98,true,39.656854,38,1392,264,174,175,1392,0.0003,0,0,175
99,true,36.284271,28,704,189,91,92,704,0.0001,0,0,92
100,true,38.213203,32,1627,297,210,211,1627,0.0003,0,0,211
101,true,42.79899,37,1727,367,228,229,1727,0.0003,0,0,229
102,true,42.213203,36,2797,456,351,352,2797,0.0005,0,0,352
103,true,43.426407,31,488,189,61,62,488,0.0001,0,0,62
104,true,42.485281,40,1567,297,210,211,1567,0.0003,0,0,211
105,true,43.698485,35,2260,394,288,289,2260,0.0004,0,0,289
106,true,43.656854,42,1268,253,161,162,1268,0.0002,0,0,162
107,true,43.183766,32,1243,276,159,160,1243,0.0002,0,0,160
108,true,40.79899,35,3230,679,425,426,3230,0.0005,0,0,426
109,true,42.485281,40,1222,228,166,167,1222,0.0002,0,0,167
110,true,41.899495,39,2097,358,263,264,2097,0.0003,0,0,264
111,true,44.727922,41,2160,367,275,276,2160,0.0003,0,0,276
112,true,44.899495,42,2577,443,339,340,2577,0.0004,0,0,340
113,true,44.041631,37,2482,423,317,318,2482,0.0004,0,0,318
114,true,45.84062,33,760,229,95,96,760,0.0001,0,0,96
115,true,45.284271,37,2551,506,337,338,2551,0.0004,0,0,338
116,true,45.970563,41,3260,564,422,423,3260,0.0005,0,0,423
117,true,44.213203,38,2592,469,337,338,2592,0.0004,0,0,338
118,true,46.769553,36,2368,426,296,297,2368,0.0003,0,0,297
119,true,45.526912,36,2243,401,288,289,2243,0.0003,0,0,289
120,true,45.627417,39,2674,429,347,348,2674,0.0004,0,0,348
121,true,50.669048,37,1252,298,160,161,1252,0.0002,0,0,161
